src,dest,EdgeType
APOA1-Epi,APOA1-Geno,Gene-Epi-Gene-Geno
APOA2-Epi,APOA2-Geno,Gene-Epi-Gene-Geno
APOA5-Epi,APOA5-Geno,Gene-Epi-Gene-Geno
APOC3-Epi,APOC3-Geno,Gene-Epi-Gene-Geno
AQP7-Epi,AQP7-Geno,Gene-Epi-Gene-Geno
ARAF-Epi,ARAF-Geno,Gene-Epi-Gene-Geno
ARAP3-Epi,ARAP3-Geno,Gene-Epi-Gene-Geno
AREG-Epi,AREG-Geno,Gene-Epi-Gene-Geno
ARF1-Epi,ARF1-Geno,Gene-Epi-Gene-Geno
ARF6-Epi,ARF6-Geno,Gene-Epi-Gene-Geno
ARHGDIA-Epi,ARHGDIA-Geno,Gene-Epi-Gene-Geno
ARHGDIB-Epi,ARHGDIB-Geno,Gene-Epi-Gene-Geno
ARHGDIG-Epi,ARHGDIG-Geno,Gene-Epi-Gene-Geno
ARHGEF12-Epi,ARHGEF12-Geno,Gene-Epi-Gene-Geno
ARNT-Epi,ARNT-Geno,Gene-Epi-Gene-Geno
ARRB1-Epi,ARRB1-Geno,Gene-Epi-Gene-Geno
ARRB2-Epi,ARRB2-Geno,Gene-Epi-Gene-Geno
ASPH-Epi,ASPH-Geno,Gene-Epi-Gene-Geno
ATF2-Epi,ATF2-Geno,Gene-Epi-Gene-Geno
ATF4-Epi,ATF4-Geno,Gene-Epi-Gene-Geno
ATF6B-Epi,ATF6B-Geno,Gene-Epi-Gene-Geno
ATG12-Epi,ATG12-Geno,Gene-Epi-Gene-Geno
ATG16L1-Epi,ATG16L1-Geno,Gene-Epi-Gene-Geno
ATG5-Epi,ATG5-Geno,Gene-Epi-Gene-Geno
ATM-Epi,ATM-Geno,Gene-Epi-Gene-Geno
ATP1A1-Epi,ATP1A1-Geno,Gene-Epi-Gene-Geno
ATP1A2-Epi,ATP1A2-Geno,Gene-Epi-Gene-Geno
ATP1A3-Epi,ATP1A3-Geno,Gene-Epi-Gene-Geno
ATP1A4-Epi,ATP1A4-Geno,Gene-Epi-Gene-Geno
ATP1B1-Epi,ATP1B1-Geno,Gene-Epi-Gene-Geno
ATP1B2-Epi,ATP1B2-Geno,Gene-Epi-Gene-Geno
ATP1B3-Epi,ATP1B3-Geno,Gene-Epi-Gene-Geno
ATP1B4-Epi,ATP1B4-Geno,Gene-Epi-Gene-Geno
ATP2A1-Epi,ATP2A1-Geno,Gene-Epi-Gene-Geno
ATP2A2-Epi,ATP2A2-Geno,Gene-Epi-Gene-Geno
ATP2A3-Epi,ATP2A3-Geno,Gene-Epi-Gene-Geno
ATP2B1-Epi,ATP2B1-Geno,Gene-Epi-Gene-Geno
ATP2B2-Epi,ATP2B2-Geno,Gene-Epi-Gene-Geno
ATP2B3-Epi,ATP2B3-Geno,Gene-Epi-Gene-Geno
ATP2B4-Epi,ATP2B4-Geno,Gene-Epi-Gene-Geno
ATP6V1A-Epi,ATP6V1A-Geno,Gene-Epi-Gene-Geno
ATP6V1B1-Epi,ATP6V1B1-Geno,Gene-Epi-Gene-Geno
ATP6V1B2-Epi,ATP6V1B2-Geno,Gene-Epi-Gene-Geno
ATP6V1C1-Epi,ATP6V1C1-Geno,Gene-Epi-Gene-Geno
ATP6V1C2-Epi,ATP6V1C2-Geno,Gene-Epi-Gene-Geno
ATP6V1D-Epi,ATP6V1D-Geno,Gene-Epi-Gene-Geno
ATP6V1E1-Epi,ATP6V1E1-Geno,Gene-Epi-Gene-Geno
ATP6V1E2-Epi,ATP6V1E2-Geno,Gene-Epi-Gene-Geno
ATP6V1F-Epi,ATP6V1F-Geno,Gene-Epi-Gene-Geno
ATP6V1G1-Epi,ATP6V1G1-Geno,Gene-Epi-Gene-Geno
ATP6V1G2-Epi,ATP6V1G2-Geno,Gene-Epi-Gene-Geno
ATP6V1G3-Epi,ATP6V1G3-Geno,Gene-Epi-Gene-Geno
ATP6V1H-Epi,ATP6V1H-Geno,Gene-Epi-Gene-Geno
ATR-Epi,ATR-Geno,Gene-Epi-Gene-Geno
ATXN1-Epi,ATXN1-Geno,Gene-Epi-Gene-Geno
ATXN1L-Epi,ATXN1L-Geno,Gene-Epi-Gene-Geno
AVP-Epi,AVP-Geno,Gene-Epi-Gene-Geno
AVPR1A-Epi,AVPR1A-Geno,Gene-Epi-Gene-Geno
AVPR1B-Epi,AVPR1B-Geno,Gene-Epi-Gene-Geno
AVPR2-Epi,AVPR2-Geno,Gene-Epi-Gene-Geno
AXIN1-Epi,AXIN1-Geno,Gene-Epi-Gene-Geno
AXIN2-Epi,AXIN2-Geno,Gene-Epi-Gene-Geno
AZI2-Epi,AZI2-Geno,Gene-Epi-Gene-Geno
BAD-Epi,BAD-Geno,Gene-Epi-Gene-Geno
BAG4-Epi,BAG4-Geno,Gene-Epi-Gene-Geno
BAMBI-Epi,BAMBI-Geno,Gene-Epi-Gene-Geno
BAX-Epi,BAX-Geno,Gene-Epi-Gene-Geno
BBC3-Epi,BBC3-Geno,Gene-Epi-Gene-Geno
BCAR1-Epi,BCAR1-Geno,Gene-Epi-Gene-Geno
BCL10-Epi,BCL10-Geno,Gene-Epi-Gene-Geno
BCL2-Epi,BCL2-Geno,Gene-Epi-Gene-Geno
BCL2A1-Epi,BCL2A1-Geno,Gene-Epi-Gene-Geno
BCL2L1-Epi,BCL2L1-Geno,Gene-Epi-Gene-Geno
BCL2L11-Epi,BCL2L11-Geno,Gene-Epi-Gene-Geno
BCL3-Epi,BCL3-Geno,Gene-Epi-Gene-Geno
BCL6-Epi,BCL6-Geno,Gene-Epi-Gene-Geno
BDKRB1-Epi,BDKRB1-Geno,Gene-Epi-Gene-Geno
BDKRB2-Epi,BDKRB2-Geno,Gene-Epi-Gene-Geno
BDNF-Epi,BDNF-Geno,Gene-Epi-Gene-Geno
BECN1-Epi,BECN1-Geno,Gene-Epi-Gene-Geno
BECN2-Epi,BECN2-Geno,Gene-Epi-Gene-Geno
BID-Epi,BID-Geno,Gene-Epi-Gene-Geno
BIRC2-Epi,BIRC2-Geno,Gene-Epi-Gene-Geno
BIRC3-Epi,BIRC3-Geno,Gene-Epi-Gene-Geno
BIRC5-Epi,BIRC5-Geno,Gene-Epi-Gene-Geno
BLNK-Epi,BLNK-Geno,Gene-Epi-Gene-Geno
BMP2-Epi,BMP2-Geno,Gene-Epi-Gene-Geno
BMP4-Epi,BMP4-Geno,Gene-Epi-Gene-Geno
BMP5-Epi,BMP5-Geno,Gene-Epi-Gene-Geno
BMP6-Epi,BMP6-Geno,Gene-Epi-Gene-Geno
BMP7-Epi,BMP7-Geno,Gene-Epi-Gene-Geno
BMP8A-Epi,BMP8A-Geno,Gene-Epi-Gene-Geno
BMP8B-Epi,BMP8B-Geno,Gene-Epi-Gene-Geno
BMPR1A-Epi,BMPR1A-Geno,Gene-Epi-Gene-Geno
BMPR1B-Epi,BMPR1B-Geno,Gene-Epi-Gene-Geno
BMPR2-Epi,BMPR2-Geno,Gene-Epi-Gene-Geno
BNIP3-Epi,BNIP3-Geno,Gene-Epi-Gene-Geno
BOC-Epi,BOC-Geno,Gene-Epi-Gene-Geno
BRAF-Epi,BRAF-Geno,Gene-Epi-Gene-Geno
BRAP-Epi,BRAP-Geno,Gene-Epi-Gene-Geno
BRCA1-Epi,BRCA1-Geno,Gene-Epi-Gene-Geno
BRCC3-Epi,BRCC3-Geno,Gene-Epi-Gene-Geno
BTC-Epi,BTC-Geno,Gene-Epi-Gene-Geno
BTK-Epi,BTK-Geno,Gene-Epi-Gene-Geno
BTRC-Epi,BTRC-Geno,Gene-Epi-Gene-Geno
CAB39-Epi,CAB39-Geno,Gene-Epi-Gene-Geno
CAB39L-Epi,CAB39L-Geno,Gene-Epi-Gene-Geno
CACNA1A-Epi,CACNA1A-Geno,Gene-Epi-Gene-Geno
CACNA1B-Epi,CACNA1B-Geno,Gene-Epi-Gene-Geno
CACNA1C-Epi,CACNA1C-Geno,Gene-Epi-Gene-Geno
CACNA1D-Epi,CACNA1D-Geno,Gene-Epi-Gene-Geno
CACNA1E-Epi,CACNA1E-Geno,Gene-Epi-Gene-Geno
CACNA1F-Epi,CACNA1F-Geno,Gene-Epi-Gene-Geno
CACNA1G-Epi,CACNA1G-Geno,Gene-Epi-Gene-Geno
CACNA1H-Epi,CACNA1H-Geno,Gene-Epi-Gene-Geno
CACNA1I-Epi,CACNA1I-Geno,Gene-Epi-Gene-Geno
CACNA1S-Epi,CACNA1S-Geno,Gene-Epi-Gene-Geno
CACNA2D1-Epi,CACNA2D1-Geno,Gene-Epi-Gene-Geno
CACNA2D2-Epi,CACNA2D2-Geno,Gene-Epi-Gene-Geno
CACNA2D3-Epi,CACNA2D3-Geno,Gene-Epi-Gene-Geno
CACNA2D4-Epi,CACNA2D4-Geno,Gene-Epi-Gene-Geno
CACNB1-Epi,CACNB1-Geno,Gene-Epi-Gene-Geno
CACNB2-Epi,CACNB2-Geno,Gene-Epi-Gene-Geno
CACNB3-Epi,CACNB3-Geno,Gene-Epi-Gene-Geno
CACNB4-Epi,CACNB4-Geno,Gene-Epi-Gene-Geno
CACNG1-Epi,CACNG1-Geno,Gene-Epi-Gene-Geno
CACNG2-Epi,CACNG2-Geno,Gene-Epi-Gene-Geno
CACNG3-Epi,CACNG3-Geno,Gene-Epi-Gene-Geno
CACNG4-Epi,CACNG4-Geno,Gene-Epi-Gene-Geno
CACNG5-Epi,CACNG5-Geno,Gene-Epi-Gene-Geno
CACNG6-Epi,CACNG6-Geno,Gene-Epi-Gene-Geno
CACNG7-Epi,CACNG7-Geno,Gene-Epi-Gene-Geno
CACNG8-Epi,CACNG8-Geno,Gene-Epi-Gene-Geno
CACYBP-Epi,CACYBP-Geno,Gene-Epi-Gene-Geno
CALM1-Epi,CALM1-Geno,Gene-Epi-Gene-Geno
CALM2-Epi,CALM2-Geno,Gene-Epi-Gene-Geno
CALM3-Epi,CALM3-Geno,Gene-Epi-Gene-Geno
CALML3-Epi,CALML3-Geno,Gene-Epi-Gene-Geno
CALML4-Epi,CALML4-Geno,Gene-Epi-Gene-Geno
CALML5-Epi,CALML5-Geno,Gene-Epi-Gene-Geno
CALML6-Epi,CALML6-Geno,Gene-Epi-Gene-Geno
CAMK1-Epi,CAMK1-Geno,Gene-Epi-Gene-Geno
CAMK1D-Epi,CAMK1D-Geno,Gene-Epi-Gene-Geno
CAMK1G-Epi,CAMK1G-Geno,Gene-Epi-Gene-Geno
CAMK2A-Epi,CAMK2A-Geno,Gene-Epi-Gene-Geno
CAMK2B-Epi,CAMK2B-Geno,Gene-Epi-Gene-Geno
CAMK2D-Epi,CAMK2D-Geno,Gene-Epi-Gene-Geno
CAMK2G-Epi,CAMK2G-Geno,Gene-Epi-Gene-Geno
CAMK4-Epi,CAMK4-Geno,Gene-Epi-Gene-Geno
CAMKK2-Epi,CAMKK2-Geno,Gene-Epi-Gene-Geno
CAMP-Epi,CAMP-Geno,Gene-Epi-Gene-Geno
CARD10-Epi,CARD10-Geno,Gene-Epi-Gene-Geno
CARD11-Epi,CARD11-Geno,Gene-Epi-Gene-Geno
CARD14-Epi,CARD14-Geno,Gene-Epi-Gene-Geno
CARD16-Epi,CARD16-Geno,Gene-Epi-Gene-Geno
CARD17-Epi,CARD17-Geno,Gene-Epi-Gene-Geno
CARD18-Epi,CARD18-Geno,Gene-Epi-Gene-Geno
CARD6-Epi,CARD6-Geno,Gene-Epi-Gene-Geno
CARD8-Epi,CARD8-Geno,Gene-Epi-Gene-Geno
CARD9-Epi,CARD9-Geno,Gene-Epi-Gene-Geno
CASP1-Epi,CASP1-Geno,Gene-Epi-Gene-Geno
CASP10-Epi,CASP10-Geno,Gene-Epi-Gene-Geno
CASP12-Epi,CASP12-Geno,Gene-Epi-Gene-Geno
