src,dest,EdgeType
6415,7110,Gene-Prot-Gene-Prot
6415,7111,Gene-Prot-Gene-Prot
6415,7114,Gene-Prot-Gene-Prot
6416,7108,Gene-Prot-Gene-Prot
6416,7109,Gene-Prot-Gene-Prot
6416,7110,Gene-Prot-Gene-Prot
6416,7111,Gene-Prot-Gene-Prot
6416,7114,Gene-Prot-Gene-Prot
6417,7108,Gene-Prot-Gene-Prot
6417,7109,Gene-Prot-Gene-Prot
6417,7110,Gene-Prot-Gene-Prot
6417,7111,Gene-Prot-Gene-Prot
6417,7114,Gene-Prot-Gene-Prot
6419,7836,Gene-Prot-Gene-Prot
6419,7837,Gene-Prot-Gene-Prot
6419,7838,Gene-Prot-Gene-Prot
6419,7840,Gene-Prot-Gene-Prot
6419,7841,Gene-Prot-Gene-Prot
6419,7842,Gene-Prot-Gene-Prot
6420,6840,Gene-Prot-Gene-Prot
6420,6874,Gene-Prot-Gene-Prot
6420,7403,Gene-Prot-Gene-Prot
6420,7722,Gene-Prot-Gene-Prot
6420,7723,Gene-Prot-Gene-Prot
6420,7836,Gene-Prot-Gene-Prot
6420,7837,Gene-Prot-Gene-Prot
6420,7838,Gene-Prot-Gene-Prot
6420,7840,Gene-Prot-Gene-Prot
6420,7841,Gene-Prot-Gene-Prot
6420,7842,Gene-Prot-Gene-Prot
6420,7878,Gene-Prot-Gene-Prot
6420,7879,Gene-Prot-Gene-Prot
6420,7880,Gene-Prot-Gene-Prot
6420,7881,Gene-Prot-Gene-Prot
6420,7882,Gene-Prot-Gene-Prot
6420,7883,Gene-Prot-Gene-Prot
6420,7884,Gene-Prot-Gene-Prot
6420,7885,Gene-Prot-Gene-Prot
6420,7886,Gene-Prot-Gene-Prot
6420,7887,Gene-Prot-Gene-Prot
6420,7972,Gene-Prot-Gene-Prot
6422,6423,Gene-Prot-Gene-Prot
6422,6508,Gene-Prot-Gene-Prot
6422,6509,Gene-Prot-Gene-Prot
6422,6510,Gene-Prot-Gene-Prot
6422,6832,Gene-Prot-Gene-Prot
6422,6833,Gene-Prot-Gene-Prot
6422,6977,Gene-Prot-Gene-Prot
6422,7161,Gene-Prot-Gene-Prot
6422,7162,Gene-Prot-Gene-Prot
6422,7163,Gene-Prot-Gene-Prot
6422,7164,Gene-Prot-Gene-Prot
6422,7165,Gene-Prot-Gene-Prot
6422,7166,Gene-Prot-Gene-Prot
6422,7167,Gene-Prot-Gene-Prot
6422,7168,Gene-Prot-Gene-Prot
6422,7523,Gene-Prot-Gene-Prot
6422,7524,Gene-Prot-Gene-Prot
6422,7525,Gene-Prot-Gene-Prot
6422,7526,Gene-Prot-Gene-Prot
6422,7527,Gene-Prot-Gene-Prot
6422,7528,Gene-Prot-Gene-Prot
6422,8000,Gene-Prot-Gene-Prot
6423,7103,Gene-Prot-Gene-Prot
6423,7104,Gene-Prot-Gene-Prot
6423,7105,Gene-Prot-Gene-Prot
6423,7106,Gene-Prot-Gene-Prot
6423,7107,Gene-Prot-Gene-Prot
6423,7113,Gene-Prot-Gene-Prot
6423,7114,Gene-Prot-Gene-Prot
6423,7878,Gene-Prot-Gene-Prot
6423,7879,Gene-Prot-Gene-Prot
6423,7880,Gene-Prot-Gene-Prot
6423,7881,Gene-Prot-Gene-Prot
6423,8162,Gene-Prot-Gene-Prot
6423,8324,Gene-Prot-Gene-Prot
6423,8325,Gene-Prot-Gene-Prot
6423,8326,Gene-Prot-Gene-Prot
6423,8404,Gene-Prot-Gene-Prot
6425,8014,Gene-Prot-Gene-Prot
6426,7485,Gene-Prot-Gene-Prot
6426,7486,Gene-Prot-Gene-Prot
6426,8152,Gene-Prot-Gene-Prot
6427,6428,Gene-Prot-Gene-Prot
6427,6469,Gene-Prot-Gene-Prot
6427,6470,Gene-Prot-Gene-Prot
6427,6471,Gene-Prot-Gene-Prot
6427,6514,Gene-Prot-Gene-Prot
6427,6521,Gene-Prot-Gene-Prot
6427,6551,Gene-Prot-Gene-Prot
6427,6619,Gene-Prot-Gene-Prot
6427,6706,Gene-Prot-Gene-Prot
6427,6707,Gene-Prot-Gene-Prot
6427,6727,Gene-Prot-Gene-Prot
6427,6769,Gene-Prot-Gene-Prot
6427,6770,Gene-Prot-Gene-Prot
6427,6771,Gene-Prot-Gene-Prot
6427,6772,Gene-Prot-Gene-Prot
6427,6773,Gene-Prot-Gene-Prot
6427,6774,Gene-Prot-Gene-Prot
6427,6775,Gene-Prot-Gene-Prot
6427,7040,Gene-Prot-Gene-Prot
6427,7041,Gene-Prot-Gene-Prot
6427,7042,Gene-Prot-Gene-Prot
6427,7043,Gene-Prot-Gene-Prot
6427,7171,Gene-Prot-Gene-Prot
6427,7172,Gene-Prot-Gene-Prot
6427,7280,Gene-Prot-Gene-Prot
6427,7282,Gene-Prot-Gene-Prot
6427,7555,Gene-Prot-Gene-Prot
6427,7567,Gene-Prot-Gene-Prot
6427,7570,Gene-Prot-Gene-Prot
6427,7575,Gene-Prot-Gene-Prot
6427,7582,Gene-Prot-Gene-Prot
6427,7604,Gene-Prot-Gene-Prot
6427,7653,Gene-Prot-Gene-Prot
6427,7693,Gene-Prot-Gene-Prot
6427,7695,Gene-Prot-Gene-Prot
6427,7696,Gene-Prot-Gene-Prot
6427,7697,Gene-Prot-Gene-Prot
6427,7714,Gene-Prot-Gene-Prot
6427,7715,Gene-Prot-Gene-Prot
6427,7716,Gene-Prot-Gene-Prot
6427,7734,Gene-Prot-Gene-Prot
6427,7787,Gene-Prot-Gene-Prot
6427,7807,Gene-Prot-Gene-Prot
6427,7915,Gene-Prot-Gene-Prot
6427,7916,Gene-Prot-Gene-Prot
6427,7917,Gene-Prot-Gene-Prot
6427,7922,Gene-Prot-Gene-Prot
6427,7923,Gene-Prot-Gene-Prot
6427,7924,Gene-Prot-Gene-Prot
6427,7925,Gene-Prot-Gene-Prot
6427,7926,Gene-Prot-Gene-Prot
6427,7927,Gene-Prot-Gene-Prot
6427,8031,Gene-Prot-Gene-Prot
6427,8077,Gene-Prot-Gene-Prot
6427,8209,Gene-Prot-Gene-Prot
6427,8296,Gene-Prot-Gene-Prot
6427,8297,Gene-Prot-Gene-Prot
6427,8406,Gene-Prot-Gene-Prot
6427,8407,Gene-Prot-Gene-Prot
6428,6947,Gene-Prot-Gene-Prot
6428,7653,Gene-Prot-Gene-Prot
6428,7908,Gene-Prot-Gene-Prot
6428,8116,Gene-Prot-Gene-Prot
6428,8117,Gene-Prot-Gene-Prot
6428,8118,Gene-Prot-Gene-Prot
6428,8418,Gene-Prot-Gene-Prot
6429,6428,Gene-Prot-Gene-Prot
6429,6469,Gene-Prot-Gene-Prot
6429,6470,Gene-Prot-Gene-Prot
6429,6471,Gene-Prot-Gene-Prot
6429,6514,Gene-Prot-Gene-Prot
6429,6521,Gene-Prot-Gene-Prot
6429,6551,Gene-Prot-Gene-Prot
6429,6619,Gene-Prot-Gene-Prot
6429,6706,Gene-Prot-Gene-Prot
6429,6707,Gene-Prot-Gene-Prot
6429,6727,Gene-Prot-Gene-Prot
6429,6769,Gene-Prot-Gene-Prot
6429,6770,Gene-Prot-Gene-Prot
6429,6771,Gene-Prot-Gene-Prot
6429,6772,Gene-Prot-Gene-Prot
6429,6773,Gene-Prot-Gene-Prot
6429,6774,Gene-Prot-Gene-Prot
6429,6775,Gene-Prot-Gene-Prot
6429,7040,Gene-Prot-Gene-Prot
6429,7041,Gene-Prot-Gene-Prot
6429,7042,Gene-Prot-Gene-Prot
6429,7043,Gene-Prot-Gene-Prot
6429,7171,Gene-Prot-Gene-Prot
6429,7172,Gene-Prot-Gene-Prot
6429,7280,Gene-Prot-Gene-Prot
6429,7282,Gene-Prot-Gene-Prot
6429,7555,Gene-Prot-Gene-Prot
6429,7567,Gene-Prot-Gene-Prot
6429,7570,Gene-Prot-Gene-Prot
6429,7575,Gene-Prot-Gene-Prot
6429,7582,Gene-Prot-Gene-Prot
6429,7604,Gene-Prot-Gene-Prot
6429,7653,Gene-Prot-Gene-Prot
6429,7693,Gene-Prot-Gene-Prot
6429,7695,Gene-Prot-Gene-Prot
6429,7696,Gene-Prot-Gene-Prot
6429,7697,Gene-Prot-Gene-Prot
6429,7714,Gene-Prot-Gene-Prot
6429,7715,Gene-Prot-Gene-Prot
6429,7716,Gene-Prot-Gene-Prot
6429,7734,Gene-Prot-Gene-Prot
6429,7787,Gene-Prot-Gene-Prot
6429,7807,Gene-Prot-Gene-Prot
6429,7915,Gene-Prot-Gene-Prot
6429,7916,Gene-Prot-Gene-Prot
6429,7917,Gene-Prot-Gene-Prot
