,fold 1,fold 2,fold 3,fold 4,fold 5,avg±std
GCN,0.69,0.68,0.68,0.71,0.68,0.69 ± 0.012
GAT,0.69,0.64,0.7,0.67,0.7,0.68 ± 0.021
GIN,0.7,0.7,0.68,0.7,0.66,0.69 ± 0.014
GFORMER,0.71,0.68,0.68,0.69,0.64,0.68 ± 0.025
PRETRAIN_GFORMER,0.65,0.66,0.8,0.61,0.79,0.7 ± 0.077
