individualID,individualID_Num
R1042011,1
R1105988,2
R1218460,3
R1262106,4
R1287407,5
R1407047,6
R1489314,7
R1531359,8
R1617674,9
R1660726,10
R1710143,11
R1743384,12
R1822146,13
R1924801,14
R2045909,15
R2079629,16
R2111091,17
R2237803,18
R2373966,19
R2455930,20
R2494273,21
R2516394,22
R2543886,23
R2575548,24
R2624931,25
R2678902,26
R2716798,27
R2721311,28
R2731324,29
R2731764,30
R2803490,31
R2880377,32
R2881301,33
R3008520,34
R3143439,35
R3176125,36
R3257830,37
R3368249,38
R3408213,39
R3477250,40
R3535957,41
R3739042,42
R3740754,43
R3741788,44
R3757880,45
R3811781,46
R3922205,47
R3978789,48
R4119160,49
R4147686,50
R4260171,51
R4276053,52
R4527133,53
R4531942,54
R4641987,55
R4917253,56
R5177066,57
R5211056,58
R5234179,59
R5369295,60
R5374583,61
R5449861,62
R5541746,63
R5546461,64
R5656511,65
R5739959,66
R5766881,67
R5789564,68
R5850046,69
R5907586,70
R5927382,71
R5973191,72
R6001210,73
R6058053,74
R6108690,75
R6114572,76
R6132310,77
R6231758,78
R6267541,79
R6292415,80
R6392007,81
R6476704,82
R6665276,83
R6698302,84
R6743664,85
R6751504,86
R6759986,87
R6765868,88
R6847727,89
R6862468,90
R6879714,91
R7025378,92
R7143693,93
R7295303,94
R7325259,95
R7483736,96
R7738727,97
R7791442,98
R7796947,99
R7876628,100
R7881801,101
R7911202,102
R7915228,103
R7959406,104
R8044591,105
R8155560,106
R8293796,107
R8444624,108
R8457289,109
R8466373,110
R8724814,111
R8759568,112
R8774534,113
R8845676,114
R8937093,115
R9072353,116
R9101940,117
R9127940,118
R9330569,119
R9354381,120
R9419876,121
R9489952,122
R9596785,123
R9598418,124
R9680160,125
R9781891,126
R9904978,127
R9936070,128
