From,To,Attention,EdgeType
0,2146,0.134477070410838,Gene-Epi-Gene-Geno
1,2147,0.18771793254754002,Gene-Epi-Gene-Geno
2,2148,0.03942797312092909,Gene-Epi-Gene-Geno
3,2149,0.577371044,Gene-Epi-Gene-Geno
4,2150,0.185723866555602,Gene-Epi-Gene-Geno
5,2151,0.5759409639999999,Gene-Epi-Gene-Geno
6,2152,0.1330756244129007,Gene-Epi-Gene-Geno
7,2153,0.1954008547358,Gene-Epi-Gene-Geno
8,2154,0.29696988184,Gene-Epi-Gene-Geno
9,2155,0.27884181234,Gene-Epi-Gene-Geno
10,2156,0.08027023052019731,Gene-Epi-Gene-Geno
11,2157,0.615135094,Gene-Epi-Gene-Geno
12,2158,0.1427650381852624,Gene-Epi-Gene-Geno
13,2159,0.13131519510053555,Gene-Epi-Gene-Geno
14,2160,0.20382348136220002,Gene-Epi-Gene-Geno
15,2161,0.42485231199999995,Gene-Epi-Gene-Geno
16,2162,0.10924746580747771,Gene-Epi-Gene-Geno
17,2163,0.3870940552,Gene-Epi-Gene-Geno
18,2164,5.122468e-19,Gene-Epi-Gene-Geno
19,2165,0.0002633981000000201,Gene-Epi-Gene-Geno
20,2166,0.50629,Gene-Epi-Gene-Geno
21,2167,0.09825721360020064,Gene-Epi-Gene-Geno
22,2168,0.664275656,Gene-Epi-Gene-Geno
23,2169,0.37080692800000004,Gene-Epi-Gene-Geno
24,2170,0.42517347999999994,Gene-Epi-Gene-Geno
25,2171,0.40830702379999995,Gene-Epi-Gene-Geno
26,2172,0.08954001960004766,Gene-Epi-Gene-Geno
27,2173,0.57207095,Gene-Epi-Gene-Geno
28,2174,0.0615868615475,Gene-Epi-Gene-Geno
29,2175,0.048441841994,Gene-Epi-Gene-Geno
30,2176,0.28278928994,Gene-Epi-Gene-Geno
31,2177,0.11546505910986857,Gene-Epi-Gene-Geno
32,2178,0.1722512279023096,Gene-Epi-Gene-Geno
33,2179,0.637362872,Gene-Epi-Gene-Geno
34,2180,0.331205544,Gene-Epi-Gene-Geno
35,2181,0.30668358902000004,Gene-Epi-Gene-Geno
36,2182,0.578728884,Gene-Epi-Gene-Geno
37,2183,0.09048300600019349,Gene-Epi-Gene-Geno
38,2184,0.028121769629060062,Gene-Epi-Gene-Geno
39,2185,0.6237383380000001,Gene-Epi-Gene-Geno
40,2186,0.09551523500928508,Gene-Epi-Gene-Geno
41,2187,0.08554619775200004,Gene-Epi-Gene-Geno
42,2188,0.08200804572400007,Gene-Epi-Gene-Geno
43,2189,0.35044950016,Gene-Epi-Gene-Geno
44,2190,0.3752961054,Gene-Epi-Gene-Geno
45,2191,0.64320963,Gene-Epi-Gene-Geno
46,2192,0.505954754,Gene-Epi-Gene-Geno
47,2193,0.49654747,Gene-Epi-Gene-Geno
48,2194,0.64791428,Gene-Epi-Gene-Geno
49,2195,0.6264950779999999,Gene-Epi-Gene-Geno
50,2196,0.6593639299999999,Gene-Epi-Gene-Geno
51,2197,0.37548001854,Gene-Epi-Gene-Geno
52,2198,0.1932057556814,Gene-Epi-Gene-Geno
53,2199,0.5105869359999999,Gene-Epi-Gene-Geno
54,2200,0.566148518,Gene-Epi-Gene-Geno
55,2201,0.033757112715727976,Gene-Epi-Gene-Geno
56,2202,0.569353016,Gene-Epi-Gene-Geno
57,2203,0.024169497494661206,Gene-Epi-Gene-Geno
58,2204,0.18905734290924,Gene-Epi-Gene-Geno
59,2205,0.589439082,Gene-Epi-Gene-Geno
60,2206,0.02803777394485883,Gene-Epi-Gene-Geno
61,2207,0.6697860999999999,Gene-Epi-Gene-Geno
62,2208,0.283165696468,Gene-Epi-Gene-Geno
63,2209,0.5948324420000001,Gene-Epi-Gene-Geno
