From,To,Attention,EdgeType
0,2146,0.21365794713330816,Gene-Epi-Gene-Geno
1,2147,0.24287949440884601,Gene-Epi-Gene-Geno
2,2148,0.22276348954007008,Gene-Epi-Gene-Geno
3,2149,0.57005033,Gene-Epi-Gene-Geno
4,2150,0.273748992804,Gene-Epi-Gene-Geno
5,2151,0.540687542,Gene-Epi-Gene-Geno
6,2152,0.2250146825040012,Gene-Epi-Gene-Geno
7,2153,0.2379822705188554,Gene-Epi-Gene-Geno
8,2154,0.22947296766995998,Gene-Epi-Gene-Geno
9,2155,0.296553709968,Gene-Epi-Gene-Geno
10,2156,0.19792335960801855,Gene-Epi-Gene-Geno
11,2157,0.5725489539999999,Gene-Epi-Gene-Geno
12,2158,0.21895149181138307,Gene-Epi-Gene-Geno
13,2159,0.22013103234080003,Gene-Epi-Gene-Geno
14,2160,0.23437295405469202,Gene-Epi-Gene-Geno
15,2161,0.61462001,Gene-Epi-Gene-Geno
16,2162,0.23451082883590998,Gene-Epi-Gene-Geno
17,2163,0.2150050297200959,Gene-Epi-Gene-Geno
18,2164,0.2,Gene-Epi-Gene-Geno
19,2165,0.2000003159697,Gene-Epi-Gene-Geno
20,2166,0.35546417620000004,Gene-Epi-Gene-Geno
21,2167,0.2197912937744,Gene-Epi-Gene-Geno
22,2168,0.6395387859999999,Gene-Epi-Gene-Geno
23,2169,0.29812049771,Gene-Epi-Gene-Geno
24,2170,0.434854334,Gene-Epi-Gene-Geno
25,2171,0.3359399896,Gene-Epi-Gene-Geno
26,2172,0.21649060809399998,Gene-Epi-Gene-Geno
27,2173,0.542512044,Gene-Epi-Gene-Geno
28,2174,0.2130602639684928,Gene-Epi-Gene-Geno
29,2175,0.20336217990230437,Gene-Epi-Gene-Geno
30,2176,0.3056324813,Gene-Epi-Gene-Geno
31,2177,0.19481742460068005,Gene-Epi-Gene-Geno
32,2178,0.21257869608044047,Gene-Epi-Gene-Geno
33,2179,0.517054248,Gene-Epi-Gene-Geno
34,2180,0.28999027384000003,Gene-Epi-Gene-Geno
35,2181,0.22708725675836,Gene-Epi-Gene-Geno
36,2182,0.3461505348,Gene-Epi-Gene-Geno
37,2183,0.2156769869554,Gene-Epi-Gene-Geno
38,2184,0.21944638122827617,Gene-Epi-Gene-Geno
39,2185,0.623297128,Gene-Epi-Gene-Geno
40,2186,0.20649395271057677,Gene-Epi-Gene-Geno
41,2187,0.22552169977828,Gene-Epi-Gene-Geno
42,2188,0.22148161027483998,Gene-Epi-Gene-Geno
43,2189,0.225892179765186,Gene-Epi-Gene-Geno
44,2190,0.28059452868,Gene-Epi-Gene-Geno
45,2191,0.623327264,Gene-Epi-Gene-Geno
46,2192,0.40152116400000004,Gene-Epi-Gene-Geno
47,2193,0.27041725048,Gene-Epi-Gene-Geno
48,2194,0.5991864060000001,Gene-Epi-Gene-Geno
49,2195,0.443513698,Gene-Epi-Gene-Geno
50,2196,0.6443904180000001,Gene-Epi-Gene-Geno
51,2197,0.26091185663899996,Gene-Epi-Gene-Geno
52,2198,0.22629912881226955,Gene-Epi-Gene-Geno
53,2199,0.45671982800000005,Gene-Epi-Gene-Geno
