From,To,Attention,EdgeType
0,2146,0.09224210120215975,Gene-Epi-Gene-Geno
1,2147,0.19669465294600003,Gene-Epi-Gene-Geno
2,2148,0.027058969679420057,Gene-Epi-Gene-Geno
3,2149,0.5688307800000001,Gene-Epi-Gene-Geno
4,2150,0.2842572945582,Gene-Epi-Gene-Geno
5,2151,0.58930752,Gene-Epi-Gene-Geno
6,2152,0.10753494056029986,Gene-Epi-Gene-Geno
7,2153,0.11165249372234862,Gene-Epi-Gene-Geno
8,2154,0.3744854804,Gene-Epi-Gene-Geno
9,2155,0.229266932596,Gene-Epi-Gene-Geno
10,2156,0.031132681723525363,Gene-Epi-Gene-Geno
11,2157,0.62550591,Gene-Epi-Gene-Geno
12,2158,0.10478081242195307,Gene-Epi-Gene-Geno
13,2159,0.09390047940005096,Gene-Epi-Gene-Geno
14,2160,0.1998482954994,Gene-Epi-Gene-Geno
15,2161,0.29345369580962,Gene-Epi-Gene-Geno
16,2162,0.08872024240000494,Gene-Epi-Gene-Geno
17,2163,0.15908028333298402,Gene-Epi-Gene-Geno
18,2164,1.20149236e-24,Gene-Epi-Gene-Geno
19,2165,3.4880522e-12,Gene-Epi-Gene-Geno
20,2166,0.359853383,Gene-Epi-Gene-Geno
21,2167,0.10982371120371703,Gene-Epi-Gene-Geno
22,2168,0.652837344,Gene-Epi-Gene-Geno
23,2169,0.3182136532,Gene-Epi-Gene-Geno
24,2170,0.471083916,Gene-Epi-Gene-Geno
25,2171,0.24396432245750002,Gene-Epi-Gene-Geno
26,2172,0.12198622764170804,Gene-Epi-Gene-Geno
27,2173,0.5972031760000001,Gene-Epi-Gene-Geno
28,2174,0.06026381349979999,Gene-Epi-Gene-Geno
29,2175,0.054215835714,Gene-Epi-Gene-Geno
30,2176,0.18979656970310002,Gene-Epi-Gene-Geno
31,2177,0.22366943927400001,Gene-Epi-Gene-Geno
32,2178,0.318803422827,Gene-Epi-Gene-Geno
33,2179,0.5890918239999999,Gene-Epi-Gene-Geno
34,2180,0.24127626806000002,Gene-Epi-Gene-Geno
35,2181,0.36097872999999997,Gene-Epi-Gene-Geno
36,2182,0.431768724,Gene-Epi-Gene-Geno
37,2183,0.11944799101944685,Gene-Epi-Gene-Geno
38,2184,0.035300135204213184,Gene-Epi-Gene-Geno
39,2185,0.6288310420000001,Gene-Epi-Gene-Geno
40,2186,0.04662847639372,Gene-Epi-Gene-Geno
41,2187,0.06474472471547399,Gene-Epi-Gene-Geno
42,2188,0.057993271790779996,Gene-Epi-Gene-Geno
43,2189,0.3828514646,Gene-Epi-Gene-Geno
44,2190,0.1432341037990832,Gene-Epi-Gene-Geno
45,2191,0.6337729480000001,Gene-Epi-Gene-Geno
46,2192,0.38838269400000003,Gene-Epi-Gene-Geno
47,2193,0.50109511,Gene-Epi-Gene-Geno
48,2194,0.6467794440000001,Gene-Epi-Gene-Geno
49,2195,0.6177688800000001,Gene-Epi-Gene-Geno
50,2196,0.664768562,Gene-Epi-Gene-Geno
51,2197,0.42881381439999994,Gene-Epi-Gene-Geno
52,2198,0.23196365233,Gene-Epi-Gene-Geno
53,2199,0.43271881599999995,Gene-Epi-Gene-Geno
54,2200,0.562709804,Gene-Epi-Gene-Geno
55,2201,0.054369129522713645,Gene-Epi-Gene-Geno
56,2202,0.5904139620000001,Gene-Epi-Gene-Geno
57,2203,0.07439487470600001,Gene-Epi-Gene-Geno
58,2204,0.28763151896600003,Gene-Epi-Gene-Geno
59,2205,0.5790754140000001,Gene-Epi-Gene-Geno
60,2206,0.0014507982805337617,Gene-Epi-Gene-Geno
61,2207,0.667437712,Gene-Epi-Gene-Geno
62,2208,0.3595458842,Gene-Epi-Gene-Geno
63,2209,0.601530166,Gene-Epi-Gene-Geno
64,2210,0.6708434480000001,Gene-Epi-Gene-Geno
65,2211,0.0365817909841677,Gene-Epi-Gene-Geno
66,2212,0.06259830465947999,Gene-Epi-Gene-Geno
67,2213,0.03612964677651,Gene-Epi-Gene-Geno
68,2214,0.12643375549637859,Gene-Epi-Gene-Geno
69,2215,1.0564976599999999e-13,Gene-Epi-Gene-Geno
70,2216,0.622642194,Gene-Epi-Gene-Geno
71,2217,1.6013596e-09,Gene-Epi-Gene-Geno
72,2218,0.54784266,Gene-Epi-Gene-Geno
73,2219,0.633837404,Gene-Epi-Gene-Geno
74,2220,0.1537497486696694,Gene-Epi-Gene-Geno
75,2221,0.032119849116199924,Gene-Epi-Gene-Geno
