From,To,Attention,EdgeType
0,2146,0.21339053606747727,Gene-Epi-Gene-Geno
1,2147,0.2584078499168,Gene-Epi-Gene-Geno
2,2148,0.22481077829860982,Gene-Epi-Gene-Geno
3,2149,0.541057594,Gene-Epi-Gene-Geno
4,2150,0.2149642520912598,Gene-Epi-Gene-Geno
5,2151,0.47841022199999994,Gene-Epi-Gene-Geno
6,2152,0.224280191691,Gene-Epi-Gene-Geno
7,2153,0.2290735457187827,Gene-Epi-Gene-Geno
8,2154,0.325160952,Gene-Epi-Gene-Geno
9,2155,0.27358496948,Gene-Epi-Gene-Geno
10,2156,0.201036904494994,Gene-Epi-Gene-Geno
11,2157,0.590322718,Gene-Epi-Gene-Geno
12,2158,0.21922359895179352,Gene-Epi-Gene-Geno
13,2159,0.22118946832491998,Gene-Epi-Gene-Geno
14,2160,0.2372412689951704,Gene-Epi-Gene-Geno
15,2161,0.57735275,Gene-Epi-Gene-Geno
16,2162,0.2187925461174,Gene-Epi-Gene-Geno
17,2163,0.21471160042800114,Gene-Epi-Gene-Geno
18,2164,0.2,Gene-Epi-Gene-Geno
19,2165,0.200000008325864,Gene-Epi-Gene-Geno
20,2166,0.29221239414,Gene-Epi-Gene-Geno
21,2167,0.217463663494,Gene-Epi-Gene-Geno
22,2168,0.6409554319999999,Gene-Epi-Gene-Geno
23,2169,0.30063948525999995,Gene-Epi-Gene-Geno
24,2170,0.44966491199999997,Gene-Epi-Gene-Geno
25,2171,0.272869385088,Gene-Epi-Gene-Geno
26,2172,0.2183369610598,Gene-Epi-Gene-Geno
27,2173,0.537622892,Gene-Epi-Gene-Geno
28,2174,0.21101770391071542,Gene-Epi-Gene-Geno
29,2175,0.19647902629037,Gene-Epi-Gene-Geno
30,2176,0.289955321324,Gene-Epi-Gene-Geno
31,2177,0.19139308772004066,Gene-Epi-Gene-Geno
32,2178,0.2111599048200019,Gene-Epi-Gene-Geno
33,2179,0.593419648,Gene-Epi-Gene-Geno
34,2180,0.274907244156,Gene-Epi-Gene-Geno
35,2181,0.2509247143834,Gene-Epi-Gene-Geno
36,2182,0.278717027256,Gene-Epi-Gene-Geno
37,2183,0.216209520572,Gene-Epi-Gene-Geno
38,2184,0.21959934242501644,Gene-Epi-Gene-Geno
39,2185,0.629488284,Gene-Epi-Gene-Geno
40,2186,0.20381460008468003,Gene-Epi-Gene-Geno
41,2187,0.22248356908,Gene-Epi-Gene-Geno
42,2188,0.223904091343922,Gene-Epi-Gene-Geno
43,2189,0.314838363786,Gene-Epi-Gene-Geno
44,2190,0.28924842188,Gene-Epi-Gene-Geno
45,2191,0.620956246,Gene-Epi-Gene-Geno
46,2192,0.3585118812,Gene-Epi-Gene-Geno
47,2193,0.24311102672439996,Gene-Epi-Gene-Geno
48,2194,0.509959394,Gene-Epi-Gene-Geno
49,2195,0.46365469,Gene-Epi-Gene-Geno
50,2196,0.642248796,Gene-Epi-Gene-Geno
51,2197,0.3648138692,Gene-Epi-Gene-Geno
52,2198,0.24833813906448002,Gene-Epi-Gene-Geno
53,2199,0.40303264399999994,Gene-Epi-Gene-Geno
54,2200,0.52802278,Gene-Epi-Gene-Geno
55,2201,0.22713144415712,Gene-Epi-Gene-Geno
56,2202,0.570314106,Gene-Epi-Gene-Geno
