From,To,Attention,EdgeType
0,2146,0.21355364944166721,Gene-Epi-Gene-Geno
1,2147,0.27197984711,Gene-Epi-Gene-Geno
2,2148,0.22718012261522785,Gene-Epi-Gene-Geno
3,2149,0.562019878,Gene-Epi-Gene-Geno
4,2150,0.2080076418072157,Gene-Epi-Gene-Geno
5,2151,0.521585722,Gene-Epi-Gene-Geno
6,2152,0.22227166212,Gene-Epi-Gene-Geno
7,2153,0.23158785625055484,Gene-Epi-Gene-Geno
8,2154,0.25820888461,Gene-Epi-Gene-Geno
9,2155,0.28105979374,Gene-Epi-Gene-Geno
10,2156,0.20564408399413656,Gene-Epi-Gene-Geno
11,2157,0.589035958,Gene-Epi-Gene-Geno
12,2158,0.23940423703278002,Gene-Epi-Gene-Geno
13,2159,0.217639372012,Gene-Epi-Gene-Geno
14,2160,0.279664988782,Gene-Epi-Gene-Geno
15,2161,0.35995531127999997,Gene-Epi-Gene-Geno
16,2162,0.21654825470000144,Gene-Epi-Gene-Geno
17,2163,0.21646053176919997,Gene-Epi-Gene-Geno
18,2164,0.20000000000000093,Gene-Epi-Gene-Geno
19,2165,0.20002079863,Gene-Epi-Gene-Geno
20,2166,0.31358372888,Gene-Epi-Gene-Geno
21,2167,0.2209333800163554,Gene-Epi-Gene-Geno
22,2168,0.632789974,Gene-Epi-Gene-Geno
23,2169,0.34791714420000003,Gene-Epi-Gene-Geno
24,2170,0.420746728,Gene-Epi-Gene-Geno
25,2171,0.32012354506,Gene-Epi-Gene-Geno
26,2172,0.2181148860081704,Gene-Epi-Gene-Geno
27,2173,0.568667782,Gene-Epi-Gene-Geno
28,2174,0.2097290417504744,Gene-Epi-Gene-Geno
29,2175,0.19122088568200007,Gene-Epi-Gene-Geno
30,2176,0.30321092918,Gene-Epi-Gene-Geno
31,2177,0.21453241062015999,Gene-Epi-Gene-Geno
32,2178,0.21902508317241418,Gene-Epi-Gene-Geno
33,2179,0.616198904,Gene-Epi-Gene-Geno
34,2180,0.3205378625,Gene-Epi-Gene-Geno
35,2181,0.27189797442,Gene-Epi-Gene-Geno
36,2182,0.41341464299999997,Gene-Epi-Gene-Geno
37,2183,0.21817975762802,Gene-Epi-Gene-Geno
38,2184,0.2190487622684965,Gene-Epi-Gene-Geno
39,2185,0.62579068,Gene-Epi-Gene-Geno
40,2186,0.20182297770600122,Gene-Epi-Gene-Geno
41,2187,0.222847187128,Gene-Epi-Gene-Geno
42,2188,0.21910961963000003,Gene-Epi-Gene-Geno
43,2189,0.23842435432902,Gene-Epi-Gene-Geno
44,2190,0.2606754337466,Gene-Epi-Gene-Geno
45,2191,0.62334415,Gene-Epi-Gene-Geno
46,2192,0.42519246,Gene-Epi-Gene-Geno
47,2193,0.39594147399999996,Gene-Epi-Gene-Geno
48,2194,0.642473812,Gene-Epi-Gene-Geno
49,2195,0.59354832,Gene-Epi-Gene-Geno
50,2196,0.644687644,Gene-Epi-Gene-Geno
51,2197,0.34761736628,Gene-Epi-Gene-Geno
52,2198,0.2674236878566,Gene-Epi-Gene-Geno
53,2199,0.407224714,Gene-Epi-Gene-Geno
54,2200,0.523334646,Gene-Epi-Gene-Geno
55,2201,0.22976186002960847,Gene-Epi-Gene-Geno
56,2202,0.585077204,Gene-Epi-Gene-Geno
57,2203,0.22092344461108587,Gene-Epi-Gene-Geno
58,2204,0.305494314336,Gene-Epi-Gene-Geno
59,2205,0.5617321179999999,Gene-Epi-Gene-Geno
60,2206,0.2077615546260138,Gene-Epi-Gene-Geno
61,2207,0.646344232,Gene-Epi-Gene-Geno
62,2208,0.27222734502,Gene-Epi-Gene-Geno
63,2209,0.5504137200000001,Gene-Epi-Gene-Geno
