From,To,Attention,EdgeType
0,2146,0.127875880360375,Gene-Epi-Gene-Geno
1,2147,0.20860367818439998,Gene-Epi-Gene-Geno
2,2148,0.03154951916918143,Gene-Epi-Gene-Geno
3,2149,0.570462554,Gene-Epi-Gene-Geno
4,2150,0.30288987390440003,Gene-Epi-Gene-Geno
5,2151,0.5673101060000001,Gene-Epi-Gene-Geno
6,2152,0.08632636286400006,Gene-Epi-Gene-Geno
7,2153,0.13280858758927466,Gene-Epi-Gene-Geno
8,2154,0.31375721788,Gene-Epi-Gene-Geno
9,2155,0.243440787094,Gene-Epi-Gene-Geno
10,2156,0.05346858434199999,Gene-Epi-Gene-Geno
11,2157,0.615818512,Gene-Epi-Gene-Geno
12,2158,0.10747506920621383,Gene-Epi-Gene-Geno
13,2159,0.07670824890000001,Gene-Epi-Gene-Geno
14,2160,0.1574274288437506,Gene-Epi-Gene-Geno
15,2161,0.36761132620000003,Gene-Epi-Gene-Geno
16,2162,0.08904056152001014,Gene-Epi-Gene-Geno
17,2163,0.21127917779059996,Gene-Epi-Gene-Geno
18,2164,2.3618238e-30,Gene-Epi-Gene-Geno
19,2165,5.467167e-08,Gene-Epi-Gene-Geno
20,2166,0.400043813,Gene-Epi-Gene-Geno
21,2167,0.073067785058,Gene-Epi-Gene-Geno
22,2168,0.662175174,Gene-Epi-Gene-Geno
23,2169,0.31117399560000003,Gene-Epi-Gene-Geno
24,2170,0.423519062,Gene-Epi-Gene-Geno
25,2171,0.37915316299999996,Gene-Epi-Gene-Geno
26,2172,0.063590137604,Gene-Epi-Gene-Geno
27,2173,0.559583178,Gene-Epi-Gene-Geno
28,2174,0.05628976346911999,Gene-Epi-Gene-Geno
29,2175,0.029633054744871996,Gene-Epi-Gene-Geno
30,2176,0.348925378,Gene-Epi-Gene-Geno
31,2177,0.08414586420429368,Gene-Epi-Gene-Geno
32,2178,0.145345656595755,Gene-Epi-Gene-Geno
33,2179,0.59543696,Gene-Epi-Gene-Geno
34,2180,0.2650517389,Gene-Epi-Gene-Geno
35,2181,0.267690020144,Gene-Epi-Gene-Geno
36,2182,0.583010214,Gene-Epi-Gene-Geno
37,2183,0.07799011140000285,Gene-Epi-Gene-Geno
38,2184,0.02909980288290011,Gene-Epi-Gene-Geno
39,2185,0.63203904,Gene-Epi-Gene-Geno
40,2186,0.04901415457844,Gene-Epi-Gene-Geno
41,2187,0.06269684952319399,Gene-Epi-Gene-Geno
42,2188,0.04634765974389522,Gene-Epi-Gene-Geno
43,2189,0.30938124339320006,Gene-Epi-Gene-Geno
44,2190,0.2115915620206,Gene-Epi-Gene-Geno
45,2191,0.637460954,Gene-Epi-Gene-Geno
46,2192,0.42504031800000003,Gene-Epi-Gene-Geno
47,2193,0.3096015924,Gene-Epi-Gene-Geno
48,2194,0.622228064,Gene-Epi-Gene-Geno
49,2195,0.43147144800000004,Gene-Epi-Gene-Geno
50,2196,0.657395534,Gene-Epi-Gene-Geno
51,2197,0.3938484718,Gene-Epi-Gene-Geno
52,2198,0.161039150844028,Gene-Epi-Gene-Geno
53,2199,0.42276578000000004,Gene-Epi-Gene-Geno
54,2200,0.6186849440000001,Gene-Epi-Gene-Geno
55,2201,0.05253261164748009,Gene-Epi-Gene-Geno
56,2202,0.623027744,Gene-Epi-Gene-Geno
57,2203,0.0138175188846692,Gene-Epi-Gene-Geno
58,2204,0.3817154006,Gene-Epi-Gene-Geno
59,2205,0.55652425,Gene-Epi-Gene-Geno
60,2206,0.015067030462242,Gene-Epi-Gene-Geno
61,2207,0.669136096,Gene-Epi-Gene-Geno
62,2208,0.2581588956,Gene-Epi-Gene-Geno
63,2209,0.623829594,Gene-Epi-Gene-Geno
64,2210,0.669904576,Gene-Epi-Gene-Geno
65,2211,0.037480497558163,Gene-Epi-Gene-Geno
66,2212,0.059561844379122,Gene-Epi-Gene-Geno
67,2213,0.0339686125294988,Gene-Epi-Gene-Geno
68,2214,0.07721332380029465,Gene-Epi-Gene-Geno
69,2215,1.7683688e-25,Gene-Epi-Gene-Geno
70,2216,0.58977316,Gene-Epi-Gene-Geno
71,2217,1.2792814e-10,Gene-Epi-Gene-Geno
72,2218,0.352824237134,Gene-Epi-Gene-Geno
73,2219,0.6368124180000001,Gene-Epi-Gene-Geno
74,2220,0.19062284892412001,Gene-Epi-Gene-Geno
75,2221,0.0198998271919,Gene-Epi-Gene-Geno
76,2222,0.634771122,Gene-Epi-Gene-Geno
77,2223,0.603611384,Gene-Epi-Gene-Geno
78,2224,0.6229573540000001,Gene-Epi-Gene-Geno
79,2225,0.053672338837642594,Gene-Epi-Gene-Geno
80,2226,0.589466224,Gene-Epi-Gene-Geno
81,2227,0.3214433872,Gene-Epi-Gene-Geno
82,2228,0.43098802,Gene-Epi-Gene-Geno
83,2229,0.0933197621000028,Gene-Epi-Gene-Geno
84,2230,0.0406307814637666,Gene-Epi-Gene-Geno
85,2231,0.0701962162986,Gene-Epi-Gene-Geno
86,2232,0.34719046591999997,Gene-Epi-Gene-Geno
87,2233,0.17636212662709,Gene-Epi-Gene-Geno
88,2234,0.6186288679999999,Gene-Epi-Gene-Geno
89,2235,0.474216278,Gene-Epi-Gene-Geno
90,2236,0.60319775,Gene-Epi-Gene-Geno
91,2237,0.625165128,Gene-Epi-Gene-Geno
92,2238,0.626998966,Gene-Epi-Gene-Geno
93,2239,0.5337726380000001,Gene-Epi-Gene-Geno
94,2240,0.11196676132047337,Gene-Epi-Gene-Geno
95,2241,0.409241046,Gene-Epi-Gene-Geno
96,2242,0.594824064,Gene-Epi-Gene-Geno
97,2243,0.00015492740800000112,Gene-Epi-Gene-Geno
98,2244,0.12437383562510022,Gene-Epi-Gene-Geno
99,2245,0.001915641501973026,Gene-Epi-Gene-Geno
100,2246,0.09587610560293826,Gene-Epi-Gene-Geno
101,2247,0.001662474000315264,Gene-Epi-Gene-Geno
102,2248,0.06757255356400003,Gene-Epi-Gene-Geno
103,2249,0.1967472581242,Gene-Epi-Gene-Geno
104,2250,0.07722876186003326,Gene-Epi-Gene-Geno
105,2251,0.032334098893539595,Gene-Epi-Gene-Geno
106,2252,0.036129704414661595,Gene-Epi-Gene-Geno
107,2253,0.1289611113229011,Gene-Epi-Gene-Geno
108,2254,0.0012566006001161448,Gene-Epi-Gene-Geno
109,2255,0.034518417873696736,Gene-Epi-Gene-Geno
110,2256,0.11861225978474736,Gene-Epi-Gene-Geno
111,2257,0.10575116026441148,Gene-Epi-Gene-Geno
112,2258,0.2910821656584,Gene-Epi-Gene-Geno
113,2259,0.29619080746000004,Gene-Epi-Gene-Geno
114,2260,0.0007127862800062652,Gene-Epi-Gene-Geno
115,2261,0.0008968377401230195,Gene-Epi-Gene-Geno
116,2262,2.4005828e-06,Gene-Epi-Gene-Geno
117,2263,0.6126415119999999,Gene-Epi-Gene-Geno
118,2264,1.2368947999999999e-05,Gene-Epi-Gene-Geno
119,2265,0.0015042304001747252,Gene-Epi-Gene-Geno
120,2266,0.028388777079400535,Gene-Epi-Gene-Geno
121,2267,0.5033886,Gene-Epi-Gene-Geno
122,2268,0.6599545680000001,Gene-Epi-Gene-Geno
