From,To,Attention,EdgeType
0,2146,0.12164698998480941,Gene-Epi-Gene-Geno
1,2147,0.20043565806359998,Gene-Epi-Gene-Geno
2,2148,0.032356169024401804,Gene-Epi-Gene-Geno
3,2149,0.575215824,Gene-Epi-Gene-Geno
4,2150,0.337683010116,Gene-Epi-Gene-Geno
5,2151,0.5672938860000001,Gene-Epi-Gene-Geno
6,2152,0.15773954936471898,Gene-Epi-Gene-Geno
7,2153,0.1788772494562,Gene-Epi-Gene-Geno
8,2154,0.34733275900000005,Gene-Epi-Gene-Geno
9,2155,0.28146719342000004,Gene-Epi-Gene-Geno
10,2156,0.1302653505843908,Gene-Epi-Gene-Geno
11,2157,0.612208034,Gene-Epi-Gene-Geno
12,2158,0.151481177844246,Gene-Epi-Gene-Geno
13,2159,0.13458391240143217,Gene-Epi-Gene-Geno
14,2160,0.2082491205456,Gene-Epi-Gene-Geno
15,2161,0.566351208,Gene-Epi-Gene-Geno
16,2162,0.11338799582720875,Gene-Epi-Gene-Geno
17,2163,0.2112473269348,Gene-Epi-Gene-Geno
18,2164,1.4002294e-18,Gene-Epi-Gene-Geno
19,2165,0.00016288242000000503,Gene-Epi-Gene-Geno
20,2166,0.424988892,Gene-Epi-Gene-Geno
21,2167,0.08327428220000024,Gene-Epi-Gene-Geno
22,2168,0.669495032,Gene-Epi-Gene-Geno
23,2169,0.37923146,Gene-Epi-Gene-Geno
24,2170,0.44078694599999996,Gene-Epi-Gene-Geno
25,2171,0.398864969,Gene-Epi-Gene-Geno
26,2172,0.07414227506000004,Gene-Epi-Gene-Geno
27,2173,0.549745624,Gene-Epi-Gene-Geno
28,2174,0.0695402461426,Gene-Epi-Gene-Geno
29,2175,0.036663622721900005,Gene-Epi-Gene-Geno
30,2176,0.3539307598,Gene-Epi-Gene-Geno
31,2177,0.08354631870211952,Gene-Epi-Gene-Geno
32,2178,0.1419508286974213,Gene-Epi-Gene-Geno
33,2179,0.620210752,Gene-Epi-Gene-Geno
34,2180,0.2859169095,Gene-Epi-Gene-Geno
35,2181,0.2441243608892,Gene-Epi-Gene-Geno
36,2182,0.4149166195999999,Gene-Epi-Gene-Geno
37,2183,0.09273795700021435,Gene-Epi-Gene-Geno
38,2184,0.009483675861342866,Gene-Epi-Gene-Geno
39,2185,0.6151230759999999,Gene-Epi-Gene-Geno
40,2186,0.06316277674400003,Gene-Epi-Gene-Geno
41,2187,0.07496687979059999,Gene-Epi-Gene-Geno
42,2188,0.05901538969354601,Gene-Epi-Gene-Geno
