From,To,Attention,EdgeType
0,2146,0.21691750730934078,Gene-Epi-Gene-Geno
1,2147,0.275881856274,Gene-Epi-Gene-Geno
2,2148,0.21852486779611008,Gene-Epi-Gene-Geno
3,2149,0.5123813939999999,Gene-Epi-Gene-Geno
4,2150,0.23496884661783998,Gene-Epi-Gene-Geno
5,2151,0.546804438,Gene-Epi-Gene-Geno
6,2152,0.22906205744335062,Gene-Epi-Gene-Geno
7,2153,0.24062841833980397,Gene-Epi-Gene-Geno
8,2154,0.331735914,Gene-Epi-Gene-Geno
9,2155,0.30854422189999997,Gene-Epi-Gene-Geno
10,2156,0.1953925287680007,Gene-Epi-Gene-Geno
11,2157,0.576786912,Gene-Epi-Gene-Geno
12,2158,0.21904095258122286,Gene-Epi-Gene-Geno
13,2159,0.21908713998014773,Gene-Epi-Gene-Geno
14,2160,0.2684431129934,Gene-Epi-Gene-Geno
15,2161,0.3690241178,Gene-Epi-Gene-Geno
16,2162,0.21580269300004556,Gene-Epi-Gene-Geno
17,2163,0.24253600883808,Gene-Epi-Gene-Geno
18,2164,0.2,Gene-Epi-Gene-Geno
19,2165,0.2000011769017,Gene-Epi-Gene-Geno
20,2166,0.33646900820000003,Gene-Epi-Gene-Geno
21,2167,0.22653756731747748,Gene-Epi-Gene-Geno
22,2168,0.650427292,Gene-Epi-Gene-Geno
23,2169,0.361966036,Gene-Epi-Gene-Geno
24,2170,0.403154906,Gene-Epi-Gene-Geno
25,2171,0.32849229644,Gene-Epi-Gene-Geno
26,2172,0.21517250046006367,Gene-Epi-Gene-Geno
27,2173,0.568683626,Gene-Epi-Gene-Geno
28,2174,0.21162918890385707,Gene-Epi-Gene-Geno
29,2175,0.19139412185319998,Gene-Epi-Gene-Geno
30,2176,0.24120814477893598,Gene-Epi-Gene-Geno
31,2177,0.19856565705640158,Gene-Epi-Gene-Geno
32,2178,0.22991959021167002,Gene-Epi-Gene-Geno
33,2179,0.61521449,Gene-Epi-Gene-Geno
34,2180,0.31876372694,Gene-Epi-Gene-Geno
35,2181,0.30312134932,Gene-Epi-Gene-Geno
36,2182,0.30802649930000003,Gene-Epi-Gene-Geno
37,2183,0.21452536740872738,Gene-Epi-Gene-Geno
38,2184,0.21991196971091048,Gene-Epi-Gene-Geno
39,2185,0.624933944,Gene-Epi-Gene-Geno
40,2186,0.20060434602400176,Gene-Epi-Gene-Geno
41,2187,0.22490849797253998,Gene-Epi-Gene-Geno
42,2188,0.22201983230774996,Gene-Epi-Gene-Geno
43,2189,0.2130281640369891,Gene-Epi-Gene-Geno
44,2190,0.29877031161999995,Gene-Epi-Gene-Geno
45,2191,0.621509042,Gene-Epi-Gene-Geno
46,2192,0.48271045400000007,Gene-Epi-Gene-Geno
47,2193,0.382867728,Gene-Epi-Gene-Geno
48,2194,0.47236729200000005,Gene-Epi-Gene-Geno
49,2195,0.5868403040000001,Gene-Epi-Gene-Geno
50,2196,0.642627798,Gene-Epi-Gene-Geno
51,2197,0.3784092536,Gene-Epi-Gene-Geno
52,2198,0.30803617426,Gene-Epi-Gene-Geno
53,2199,0.453911424,Gene-Epi-Gene-Geno
54,2200,0.561099428,Gene-Epi-Gene-Geno
55,2201,0.2278076178056855,Gene-Epi-Gene-Geno
56,2202,0.5075117880000001,Gene-Epi-Gene-Geno
57,2203,0.22239619447869993,Gene-Epi-Gene-Geno
58,2204,0.33665107293999996,Gene-Epi-Gene-Geno
59,2205,0.56912374,Gene-Epi-Gene-Geno
60,2206,0.2185728792284211,Gene-Epi-Gene-Geno
61,2207,0.648590144,Gene-Epi-Gene-Geno
62,2208,0.2566788937112,Gene-Epi-Gene-Geno
63,2209,0.546165434,Gene-Epi-Gene-Geno
64,2210,0.626025594,Gene-Epi-Gene-Geno
65,2211,0.21656461323665402,Gene-Epi-Gene-Geno
66,2212,0.22635963430366002,Gene-Epi-Gene-Geno
67,2213,0.20119959603967003,Gene-Epi-Gene-Geno
68,2214,0.20893894714133002,Gene-Epi-Gene-Geno
69,2215,0.2000000000001144,Gene-Epi-Gene-Geno
70,2216,0.594599746,Gene-Epi-Gene-Geno
71,2217,0.200000029525776,Gene-Epi-Gene-Geno
72,2218,0.3611564982,Gene-Epi-Gene-Geno
73,2219,0.609099546,Gene-Epi-Gene-Geno
74,2220,0.2610693685776,Gene-Epi-Gene-Geno
75,2221,0.21294935347526,Gene-Epi-Gene-Geno
76,2222,0.61621975,Gene-Epi-Gene-Geno
77,2223,0.3666936012,Gene-Epi-Gene-Geno
78,2224,0.613892564,Gene-Epi-Gene-Geno
79,2225,0.22076903906000708,Gene-Epi-Gene-Geno
80,2226,0.5315333640000001,Gene-Epi-Gene-Geno
81,2227,0.343632342,Gene-Epi-Gene-Geno
82,2228,0.3222484582,Gene-Epi-Gene-Geno
83,2229,0.2319121756700862,Gene-Epi-Gene-Geno
84,2230,0.22507743385270002,Gene-Epi-Gene-Geno
85,2231,0.22491629617144002,Gene-Epi-Gene-Geno
86,2232,0.3859062296,Gene-Epi-Gene-Geno
87,2233,0.23526722124764068,Gene-Epi-Gene-Geno
88,2234,0.531433796,Gene-Epi-Gene-Geno
89,2235,0.493846468,Gene-Epi-Gene-Geno
90,2236,0.556249116,Gene-Epi-Gene-Geno
91,2237,0.605426266,Gene-Epi-Gene-Geno
92,2238,0.609631602,Gene-Epi-Gene-Geno
93,2239,0.494835986,Gene-Epi-Gene-Geno
94,2240,0.225917937068024,Gene-Epi-Gene-Geno
95,2241,0.30567404992,Gene-Epi-Gene-Geno
96,2242,0.5677503359999999,Gene-Epi-Gene-Geno
97,2243,0.20084436948,Gene-Epi-Gene-Geno
98,2244,0.2396471857382112,Gene-Epi-Gene-Geno
99,2245,0.20319175180001267,Gene-Epi-Gene-Geno
100,2246,0.20909640400399998,Gene-Epi-Gene-Geno
101,2247,0.21157241026910917,Gene-Epi-Gene-Geno
102,2248,0.2088042090023054,Gene-Epi-Gene-Geno
103,2249,0.26504945923,Gene-Epi-Gene-Geno
104,2250,0.20653954630674748,Gene-Epi-Gene-Geno
105,2251,0.22550451322282342,Gene-Epi-Gene-Geno
106,2252,0.21801957606350003,Gene-Epi-Gene-Geno
107,2253,0.24505222195454,Gene-Epi-Gene-Geno
108,2254,0.2010889481,Gene-Epi-Gene-Geno
109,2255,0.21936593217831918,Gene-Epi-Gene-Geno
110,2256,0.22969766588793994,Gene-Epi-Gene-Geno
111,2257,0.232042748827166,Gene-Epi-Gene-Geno
112,2258,0.293667347,Gene-Epi-Gene-Geno
113,2259,0.24093722536467999,Gene-Epi-Gene-Geno
114,2260,0.2049312320005637,Gene-Epi-Gene-Geno
115,2261,0.20270589060004246,Gene-Epi-Gene-Geno
116,2262,0.20014108772,Gene-Epi-Gene-Geno
117,2263,0.6004023039999999,Gene-Epi-Gene-Geno
118,2264,0.2001054502,Gene-Epi-Gene-Geno
119,2265,0.20574786200134687,Gene-Epi-Gene-Geno
120,2266,0.21747835014740255,Gene-Epi-Gene-Geno
121,2267,0.49980163,Gene-Epi-Gene-Geno
122,2268,0.636688948,Gene-Epi-Gene-Geno
123,2269,0.221441293166994,Gene-Epi-Gene-Geno
124,2270,0.623547648,Gene-Epi-Gene-Geno
125,2271,0.21519594627374813,Gene-Epi-Gene-Geno
126,2272,0.212901298858,Gene-Epi-Gene-Geno
127,2273,0.247869170007406,Gene-Epi-Gene-Geno
128,2274,0.21631981149200236,Gene-Epi-Gene-Geno
129,2275,0.22268354665000004,Gene-Epi-Gene-Geno
130,2276,0.57143489,Gene-Epi-Gene-Geno
131,2277,0.2140095598561226,Gene-Epi-Gene-Geno
132,2278,0.2178263854805988,Gene-Epi-Gene-Geno
