From,To,Attention,EdgeType
0,2146,0.203647441100299,Gene-Epi-Gene-Geno
1,2147,0.2701827729,Gene-Epi-Gene-Geno
2,2148,0.220517836076001,Gene-Epi-Gene-Geno
3,2149,0.568118628,Gene-Epi-Gene-Geno
4,2150,0.20636154566055417,Gene-Epi-Gene-Geno
5,2151,0.540805692,Gene-Epi-Gene-Geno
6,2152,0.21975917264000483,Gene-Epi-Gene-Geno
7,2153,0.23351590109128023,Gene-Epi-Gene-Geno
8,2154,0.21752776227958,Gene-Epi-Gene-Geno
9,2155,0.2657788448194,Gene-Epi-Gene-Geno
10,2156,0.19815175795866,Gene-Epi-Gene-Geno
11,2157,0.58710049,Gene-Epi-Gene-Geno
12,2158,0.2149924167600441,Gene-Epi-Gene-Geno
13,2159,0.21800177123800002,Gene-Epi-Gene-Geno
14,2160,0.2688106135478,Gene-Epi-Gene-Geno
15,2161,0.3944863434,Gene-Epi-Gene-Geno
16,2162,0.21654211303999998,Gene-Epi-Gene-Geno
17,2163,0.272497438776,Gene-Epi-Gene-Geno
18,2164,0.20000000000000054,Gene-Epi-Gene-Geno
19,2165,0.20000071425016,Gene-Epi-Gene-Geno
20,2166,0.33114546528,Gene-Epi-Gene-Geno
21,2167,0.22908903127917218,Gene-Epi-Gene-Geno
22,2168,0.635828524,Gene-Epi-Gene-Geno
23,2169,0.377896959,Gene-Epi-Gene-Geno
24,2170,0.44618496199999996,Gene-Epi-Gene-Geno
25,2171,0.30533494677399997,Gene-Epi-Gene-Geno
26,2172,0.22174657105874296,Gene-Epi-Gene-Geno
27,2173,0.5088117759999999,Gene-Epi-Gene-Geno
28,2174,0.211834217064377,Gene-Epi-Gene-Geno
29,2175,0.18879006005000945,Gene-Epi-Gene-Geno
30,2176,0.23592684883523002,Gene-Epi-Gene-Geno
31,2177,0.20597657633525598,Gene-Epi-Gene-Geno
32,2178,0.2235757127628676,Gene-Epi-Gene-Geno
33,2179,0.586437262,Gene-Epi-Gene-Geno
34,2180,0.290516195834,Gene-Epi-Gene-Geno
35,2181,0.310972934,Gene-Epi-Gene-Geno
36,2182,0.385248189,Gene-Epi-Gene-Geno
