gene_name,p_value
AIFM2,1.0
ATM,1.0
ATR,1.0
CACNA2D2,1.0
CACNA2D4,1.0
CACNB4,1.0
CACNG1,1.0
CACNG5,1.0
CACNG6,1.0
CARD16,1.0
CARD17,1.0
CARD18,1.0
CASP1,1.0
CASP12,1.0
CBLB,1.0
CD72,1.0
CD8A,1.0
CD8B,1.0
CD8B2,1.0
CHEK1,1.0
CHEK2,1.0
CLEC4D,1.0
CLEC4E,1.0
CLEC6A,1.0
CTLA4,1.0
DDB2,1.0
FCER1G,1.0
GNAQ,1.0
GTSE1,1.0
IL17B,1.0
IL17C,1.0
IL17F,1.0
IL17RA,1.0
IL17RB,1.0
IL17RC,1.0
IL17RE,1.0
IL25,1.0
KCNJ12,1.0
KCNJ14,1.0
KCNJ18,1.0
KCNJ2,1.0
LCK,1.0
LILRA1,1.0
LILRA2,1.0
LILRA4,1.0
LILRA5,1.0
LILRA6,1.0
LILRB1,1.0
LILRB2,1.0
LILRB3,1.0
LILRB4,1.0
LILRB5,1.0
MYD88,1.0
OXTR,1.0
PDCD1,1.0
PERP,1.0
PMAIP1,1.0
PPM1D,1.0
PTPRC,1.0
RRM2,1.0
RRM2B,1.0
SERPINB5,1.0
STEAP3,1.0
TLR5,1.0
TLR7,1.0
TLR8,1.0
TLR9,1.0
TNFRSF10A,1.0
TNFRSF10B,1.0
TP53I3,1.0
